word,translate,country
卫生,health,
大阪,Osaka,
中阿,China and Afghanistan,
沙特阿美,Saudi Aramco,
德黑兰,Tehran,
伊斯兰,islam,
阿里亚,Aria,
CNOOC,CNOOC,
SMIC,SMIC,
葡萄酒,wine,
华南,South China,
瑞安,Ryan,
温哥华,Vancouver,
北约,NATO,
澳门,Macao,
CEIEC,CEIEC,
马杜罗,Maduro,
中企,Chinese enterprises,
出口,exit,
传染病,infectious disease,
尼领土,nigerian territory,
黄之锋案,Joshua Wong case,
马尼拉,Manila,
孟加拉国,Bangladesh,Bangladesh
南亚,South Asia,
奥巴马,obama,
丹麦,Denmark,Denmark
奥3日,Back 3rd,
伊斯坦布尔,Istanbul,
上升器,ascender,
地球,Earth,
伦敦,London,
罗素,Russell,
美东,Eastern United States,
剑桥,Cambridge,
京,Beijing,
公立,public,
人权,human rights,
佛罗里达州,Florida,
共和党,republican party,
议院,House,
英特尔,Intel,
阿盟,Arab League,
特朗普,trump,
纳斯达克,Nasdaq,
上周六,last Saturday,
中英,Chinese-English,
每日,daily,
印度尼西亚,Indonesia,Indonesia
沙特阿拉伯,Saudi Arabia,Saudi Arabia
红海,Red Sea,
世贸,world trade,
沃库尔,vokul,
奥言论称,Austrian sayings,
哈佛,Harvard,
亚萨,Asaph,
世界报,Le Monde,
教育部,Ministry of Education,
山东,Shandong,
卢比欧,Rubio,
海洋,ocean,
欧,Europe,
南极,Antarctica,
南极洲,Antarctica,
阿关系,A relationship,
中山,Zhongshan,
泰秀,Yasuhide,
中联部,International Department of the CPC Central Committee,
伊斯兰堡,Islamabad,
华留,Hualiu,
药品,drug,
福尔多核,Fordo Core,
毛里求斯,Mauritius,Mauritius
弗斯特,First,
西半球,Western Hemisphere,
北极,Arctic,
尼日利亚,Nigeria,Nigeria
沙卡,Shaka,
沙特欧拉,Saudi Arabia,
华盛顿,washington,
阿里巴巴,Alibaba,
奥连续,Continuous,
中行,Bank of China,
两岸,both sides of the strait,
中坦,medium tank,
吉,lucky,Kyrgyzstan
吉中央,Yoshichuo,
中文化,Chinese culture,
活动,Activity,
韩中,South Korea and China,
维持,maintain,
世卫,WHO,
访美,Visit the United States,
文莱,Brunei,
中海油,CNOOC,
国土,land,
CECC,CECC,
麻省,Massachusetts,
菲,Philippine,the Philippines
越,cross,Vietnam
拉夫罗夫,Lavrov,
乌干达,Uganda,Uganda
华学业,Chinese studies,
科兴,Sinovac,
欧洲人,European,
印太,Indo-Pacific,
纽交所,New York Stock Exchange,
工作组,work group,
NDTV,NDTV,
巴格达,Baghdad,
美资,beauty,
中央,central,
多国,multi-country,
巴特利特,Bartlett,
利雅得,Riyadh,
巴赫,bach,
义乌,Yiwu,
欧携手,Europe joins hands,
浙江,Zhejiang,
日媒,Japanese media,
自民党,liberal democratic party,
武汉市,Wuhan,
智利,Chile,
台积电,TSMC,
缅,Myanmar,Myanmar
缅实施,implemented in Myanmar,
乔治凯南,George Kennan,
乌克兰,Ukraine,Ukraine
马达西奇,Madacic,
联合会,federation,
伊核,Iran nuclear,
民权,civil rights,
自由,free,
马里兰,maryland,
加,add,Canada
第九,ninth,
半岛,peninsula,
冲绳县,Okinawa Prefecture,
日英,Japanese-English,
海警法,Coast Guard Law,
芬兰,Finland,Finland
新华社,Xinhua News Agency,
英落,Fallen hero,
美驻,US Embassy,
Ofcom,Ofcom,
IMF,IMF,
中国籍,Chinese nationals,
美和日,Miwa day,
日军,Japanese army,
保守党,conservative party,
伊原子,Iatom,
埃塞俄比亚,Ethiopia,Ethiopia
金,Money,
好莱坞,Hollywood,
巴切莱特,Bachelet,
安诺生,Anderson,
汉班,Hanban,
奥和余,Ao and Yu,
内政部,Ministry of Interior,
法,Law,
多米尼加,dominican,
经济,economy,
阿撤离,A evacuation,
华人员,Chinese personnel,
盖洛普,Gallup,
沙特吉赞省,"Jizan Province, Saudi Arabia",
律师,lawyer,
罗伊,Roy,
立陶宛,Lithuania,
沙特主办,Hosted by Saudi Arabia,
阿拉斯加,Alaska,
冬残,Winter remnant,
阿木尔,Amul,
日获批,Approved on,
国民,national,
克里米亚,Crimea,
阿拉斯加州,Alaska,
科摩罗,Comoros,
丹东,Dandong,
火药味,The smell of gunpowder,
瑞士,Switzerland,Switzerland
阿美,Ami,
萨卡利埃,Sakalière,
桂林,Guilin,
中东,middle East,
江—,River-,
大赦,amnesty,
拉美,Latin America,
朝,morning,North Korea
科罗拉多州,Colorado,
巴拉圭,Paraguay,Paraguay
驻法,Residing in France,
H&M,H&M,
墨,ink,Mexico
加尼,ghani,
维吾尔,Uighur,
巴基斯坦日,pakistan day,
党内,within the party,
东海,East China Sea,
共同社,Kyodo News,
第一,First,
洛伦扎纳,Lorenzana,
菲防长,Philippine Defense Secretary,
福建,Fujian,
孟加拉湾,Bay of Bengal,
奶茶,milk tea,
缅使馆,Myanmar Embassy,
东突,East Turkestan,
亚甫泉,Yafuquan,
贝克勒尔,Becquerel,
欧元,EUR,
加加林,Gagarin,
中级,intermediate,
喀什,Kashgar,
基督教,Christianity,
阿撤军,A withdrawal of troops,
阿美军,Afghan U.S. Army,
澳人,Australian,
约翰·麦凯恩,John McCain,
东耶路撒冷,east jerusalem,
海南,Hainan,
乍得,Chad,
无尽,Endless,
辛迪加,syndicate,
GCHQ,GCHQ,
柬,Cambodia,Cambodia
金边,Phnom Penh,
俄出,Russian out,
台大,National Taiwan University,
德里,delhi,
阿德莱德,adelaide,
阿巴尼斯,Abanis,
联合,joint,
肯尼亚,Kenya,
文部,Literature,
密克罗尼西亚,Micronesia,Micronesia
四川,Sichuan,
中德,China and Germany,
丹使馆,Danish Embassy,
政治报,Politico,
东突厥斯坦,East Turkestan,
黄岩岛,Scarborough Shoal,
五角大楼,Pentagon,
踪长,long trace,
奥克兰,Auckland,
布隆伯格,Bloomberg,
特朗,Trump,
生物战,biological warfare,
美学者,aesthetic scholar,
捍卫,defend,
伊斯兰教,Islam,
耶路撒冷,Jerusalem,
福建省,Fujian Province,
马尔代夫,Maldives,
以方,Yi Fang,Israel
SARS,SARS,
GAVI,GAVI,
中美洲,Central America,
第27,No. 27,
萨尔瓦多,El Salvador,El Salvador
西安,Xi'an,
喀山市,Kazan city,
人民网,People's Daily Online,
巴黎,Paris,
孟加拉,Bengal,
南半球,Southern Hemisphere,
加沙,Gaza,
贵阳,Guiyang,
釜山港,Busan port,
北冰洋,Arctic Ocean,
新泽西州,New Jersey,
阿根廷,Argentina,Argentina
乌苏港,Wusu Port,
卫福,Wei Fu,
台方,Taiwan,Taiwan
台能,Tai Neng,
亚美尼亚,Armenia,Armenia
平访,ordinary visit,
云南,Yunnan,
福岛,Fukushima,
白航空,White Air,
本轮,This round,
弗洛伊德,Freud,
北海道,Hokkaido,
大连,Dalian,
迪拜,Dubai,
厦门,Xiamen,
台陆,Taiwan and Mainland China,
福州,fuzhou,
金门,kinmen,
马祖,Mazu,
釜山,Busan,
匈牙利,Hungary,Hungary
爱尔兰,Ireland,Ireland
纽约市,New York City,
庆南,Gyeongnam,
福奇,Fauci,
国有化,nationalization,
731,731,
P4,P4,
德特里克堡,fort detrick,
复旦,Fudan,
华务,Huawu,
苏联,Soviet Union,Russia
南疆,Southern Xinjiang,
宁波,Ningbo,
青岛,Qingdao,
李宁,Li Ning,
大使级,ambassador level,
韩联社,yonhap news agency,
布鲁塞尔,brussels,
慕尼黑,Munich,
鲁莽,reckless,
特立尼达和多巴哥,Trinidad and Tobago,
卡翁达,Kaunda,
金正恩,Kim Jong Un,
苹果,apple,
共和,republic,
蒙特利尔,montreal,
萨斯喀彻温省,saskatchewan,
联署,Jointly sign,
5万,50000,
国立,national,
麦考尔,McCall,
地中海,Mediterranean,
总理府,Prime Minister's Office,
格林纳达,Greneda,Greneda
援建,Aid construction,
巴新,Papua New Guinea,Papua New Guinea
斯威士兰,Swaziland,Swaziland
医学,medicine,
反对党,opposition party,
基金,fund,
惠特拉姆,Whitlam,
澳前,Before Australia,
海地,Haiti,
阿停留,a stay,
复星,Fosun,
富士康,Foxconn,
埃塞,Ethiopia,Ethiopia
西巴尔干,Western Balkans,
杜尚别,dushanbe,
伊斯兰恐惧症,islamophobia,
加拉加斯,caracas,
土库曼斯坦,Turkmenistan,Turkmenistan
商务部,Ministry of Commerce,
拉库特,Racourt,
南沙群岛,Nansha Islands,
华供,Hua Gong,
印第安,indian,
哈瓦那,Havana,
巴塔,Bata,
中资,Chinese capital,
阿塔能,Ataneng,
美奥,Meiao,
河南,Henan,
新闻局,Information Bureau,
河南省,Henan Province,
天津,Tianjin,
斯里兰,Sri Lanka,
北塞浦路斯,Northern Cyprus,
塞,plug,
贵州,Guizhou,
马格尼茨,Magnitz,
军委会,Military Commission,
行动队,action team,
成都,Chengdu,
泉州,Quanzhou,
广核,Guangdong Nuclear Power,
千岛群岛,Thousand Islands,
南北对话,North-South dialogue,
韩朝,South Korea,
卡拉奇,karachi,
冲绳岛,Okinawa,
德之岛,Tokunoshima,
奥斯汀,austin,
VISA,VISA,
叶卡捷琳堡,Yekaterinburg,
佛州,Florida,
棕榈滩,Palm Beach,
迈阿密,Miami,
美菲,Meifei,
菲方于,Philippine side,
访问,access,
党派,partisan,
美籍,American,
安全局,security bureau,
中伊,China and Iran,
丹东市,Dandong City,
加拿大籍,Canadian,
辽宁省,Liaoning Province,
斯瓦特,Swat,
敦促委,urge committee,
阿公民,A citizen,
亚太裔,Asian and Pacific Islanders,
阿塔,Atta,
阿塔为,Attawe,
阿政策,A policy,
宁夏,Ningxia,
民进党,Democratic Progressive Party,
昆明,Kunming,
布鲁金斯,brookings,
阿,A,Saudi Arabia
沙中,in the sand,
塞拉利昂,Sierra Leone,Sierra Leone
北卡,North Carolina,
巴里克,barrick,
巴里克同德特里克堡,barrick and fort detrick,
北卡罗来纳,North Carolina,
星岛,star island,
巴巴多斯,Barbados,Barbados
冲绳,Okinawa,
阿20年,Ah 20 years,
阿及,Aji,
阿政府,government of arabia,
阿所有,All,
阿经营,A business,
东宁,Dongning,
黑龙江省,Heilongjiang Province,
潘杰希尔省,panjshir province,
伊丽莎,eliza,
美白宫,White House,
阿新,Axin,
柳叶刀,lancet,
美应,Meiying,
原子能,atomic energy,
巴启动,Pakistan starts,
先锋报,avant garde,
阿空军,Afghan Air Force,
阿临,A Lin,
乌兹别克斯坦,Uzbekistan,Uzbekistan
阅兵式,parade,
沙欣,Shaheen,
IAEA,IAEA,
美联社,Associated Press,
斯坦福,Stanford,
首尔,Seoul,
塔斯社,TASS,
洲际,intercontinental,
布基纳法索,Burkina Faso,Burkina Faso
闭口不谈,keep silent,
康,Healthy,
AUKUS,VICTIM,
三国,Mikuni,
南太平洋,South Pacific,
联想,Lenovo,
朝中社,KCNA,
美利坚合众国,united states of america,United States
贵州省,Guizhou Province,
奥委会,olympic committee,
福岛县,Fukushima Prefecture,
基里巴斯,Kiribati,
霍尔果斯,Horgos,
津,Tianjin,
格林菲尔德,greenfield,
格拉斯哥,Glasgow,
NBA,NBA,
云南省,Yunnan Province,
北海,North Sea,
希腊,Greece,Greece
雅典,athens,
凯尔特人队,celtics,
波士顿,boston,
伯恩斯,burns,
斯洛伐克,Slovakia,Slovakia
青海,Qinghai,
大马士革,damascus,
区议员,District Councilor,
阿尔巴尼亚,Albania,Albania
希二十,Hope twenty,
乌,black,Ukraine
苏格兰,Scotland,
奥会,Okukai,
台湾岛,TAIWAN Island,Taiwan
贝尔格莱德,belgrade,
联名,joint name,
哈拉雷,Harare,
安天,Antian,
北京市,Beijing,
访学,Visiting,
喀布尔无人机,kabul drone,
CCBC,CCBC,
CPTPP,CPTPP,
台洪,Taihong,
巴尼邦古,banibangu,
广东省,Guangdong Province,
印发,Print and distribute,
东北,northeast,
远东,Far East,
四方,four directions,
埃此,Here,
夏尔马,Sharma,
美元,Dollar,
信创,Xinchuang,
纽伯格,Newberg,
西门子,Siemens,
西共体,ECOWAS,
澳使馆,Australian Embassy,
澳核,Australian Nuclear,
巴格兹,Baghuz,
委,committee,Venezuela
警近日,Police recently,
保加利亚,Bulgaria,Bulgaria
中新社,China News Service,
摩根,morgan,
摩根大通,JPMorgan,
仁爱,benevolence,
菲当日,Philippine day,
贝尔吉斯,Bergis,
澳议员,Australian Member of Parliament,
洪都拉斯,Honduras,Honduras
美议员,US congressman,
马莱塔省,Malaita Province,
难民们,refugees,
波罗的海,Baltic Sea,
港口,port,
亚的斯亚贝巴,Addis Ababa,
南郊,Southern suburbs,
新喀里多尼亚,new caledonia,
伊方,Ikata,Iran
法英德,"France, Britain and Germany",
美及,Beautiful and,
大跳台,big platform,
东北亚,North-east Asia,
霍尼亚拉市,Honiara City,
柬实施,Implemented in Cambodia,
尼加拉瓜,Nicaragua,Nicaragua
伊利诺伊州,Illinois,
田纳西州,Tennessee,
龙卷风,tornado,
布尔无人机,boolean drone,
友台,Tomodai,
赫希兰德,Hirschland,
农业部,ministry of agriculture,
卡斯可能,Cass may,
立农业,establish agriculture,
吉林,Jilin,
立货物,stand goods,
华中,Central China,
北美,Kitami,
圣子,Son,
残,disabled,
东布罗夫斯基,Dombrowski,
金钱化,monetization,
交通,transportation,
印度斯坦,Hindustan,
藏族,Tibetan,
经济学家,economist,
奥密克戎,Omicron,
Space,Space,
巴基斯坦馆,Pakistan Pavilion,
美国之音,Voice of America,
福尔摩沙,formosa,
西雅图,seattle,
达美,Delta,
立陶,standing pottery,
内政,internal affairs,
墨西哥,Mexico,Mexico
霍尼亚拉,honiara,
巴中,Bazhong,
蒙卡达,Moncada,
东部,east,
石油气,petroleum gas,
厄立特里亚,Eritrea,
国铁,National Railway,
摩洛哥,Morocco,Morocco
美间,beautiful room,
澳冬,Australian winter,
乌别尔,Ubel,
斯合资,Sri Lanka joint venture,
阿民众,A people,
无锡,Wuxi,
阿方,A Fang,
斯可能,It's possible,
第十四,fourteenth,
海部俊树,Toshiki Kaifu,
耶鲁,Yale,
巴伐利亚,bavaria,
汤加,Tonga,Tonga
阿布扎比,abu dhabi,
阿尔维,Alvi,
爱德曼,Edelman,
中沙群岛,Zhongsha Islands,
沙希德,Shahid,
印军方,Indian military,
华德企,Huade Enterprise,
毕马威,KPMG,
俄使馆,Russian Embassy,
华航班,China Airlines,
东京地方法院,Tokyo District Court,
律师团,Lawyers team,
旧金山,san francisco,
巴访,Visit to Pakistan,
火炬手,Torchbearer,
祁发宝,Qi Fabao,
反应堆,reactor,
阿拉克,Arak,
新闻,news,
伊从中,Yi Zhong,
伊持续,Yi continues,
乌领土,Ukrainian territory,
福克兰群岛,Falkland Islands,
QUAD,QUAD,
南,South,South Africa
佐渡岛,Sado Island,
中墨,China and Mexico,
韩美日,"South Korea, the United States and Japan",
彭博,Bloomberg,
乌边界,Ukrainian border,
陈兵,Chen Bing,
阿人民,A people,
阿央行,A central bank,
阿首都,Akito,
IFC,IFC,
米胶,rice glue,
渥太华,ottawa,
开罗,cairo,
加德满都,kathmandu,
俄乌,Russia and Ukraine,
俄军,Russian army,
奥尔森,olson,
阿援助,A aid,
长城,Great Wall,
桂敏海,Katsura Toshimi,
范德普尔,Vanderpool,
戈梅利,gomel,
阿法尔州,Afar region,
中柬,China and Cambodia,
海南省,Hainan,
乌公民,Ukrainian citizens,
苏禄海,Sulu Sea,
中等,medium,
乌政体,Ukrainian political system,
海牙,The Hague,
安徽,Anhui,
匈塞,Hungary,
国际日,international day,
波音,boeing,
华商,Chinese businessmen,
金砖,gold bricks,
三亚,Sanya,
南联盟,Yugoslavia,
布加勒斯特,Bucharest,
罗马尼亚,Romania,Romania
卡内基,Carnegie,
中石化,Sinopec,
中石油,middle oil,
乌特别,Ute,
清华,Tsinghua University,
所,Place,Solomon Islands
胡塞,Houthis,
阿亚,Aya,
印受,impression,
胁迫性,Coercive,
克拉马托尔斯克市,Kramatorsk city,
倚重,rely heavily on,
日增病,day-to-day disease,
伊姆兰•汗,Imran Khan,
环境,environment,
以军,Israeli army,
约旦河,jordan river,
西岸,west bank,
蓝盔,blue helmet,
加利福尼亚州,California,
乌克兰人,Ukrainian,
谷歌,Google,
阿临时,A temporary,
阿巴,Aba,
中文日,Chinese day,
特斯拉,Tesla,
巴使馆,Pakistani Embassy,
司令部,headquarters,
平壤,Pyongyang,
新闻处,Press Office,
威视,Nuctech,
杭州,Hangzhou,
亚奥,Yao,
亚青会,Asian Youth Conference,
汕头,Shantou,
行政区,administrative district,
铃木宪,Ken Suzuki,
美洲,America,
苏伊士,suez,
西奈,sinai,
运河,canal,
柬扫雷,Cambodia mine clearance,
南太,Nanta,
奥密克,Omic,
密尔沃基市,Milwaukee,
俄拟,Russian plan,
台裔,Taiwanese,
亚速,Azov,
拉斯维加斯,las vegas,
东道国,host country,
广岛,Hiroshima,
贾马特,jamat,
日官员,Japanese officials,
日美,Japan and the United States,
日本海,Sea of ​​Japan,
ALBA,ALBA,
古,antiquity,Cuba
尼实施,Implemented in Nigeria,
瑞方,Ruifang,
加剧,aggravate,
伊浓,Ino,
得克萨斯州,Texas,
卢旺达,Rwanda,
教育,educate,
文化,culture,
吉大港,Chittagong,
北马其顿,North Macedonia,North Macedonia
圣文森特,saint vincent,
格林纳丁斯,grenadines,
虚假,false,
伯利兹,Belize,
阿南德,Anand,
香格里拉,Shangri-la,
黄海,yellow sea,
哈勒姆,haarlem,
行动处,Operations Office,
非盈利,Non-profit,
星期日,Sunday,
洛伊,Roy,
吉布提,Djibouti,Djibouti
拉丁,Latin,
西哈莫尼,Sihamoni,
巴外汇,pakistan foreign exchange,
伊拥核,Yi Yonghe,
核事故,nuclear accident,
印第安人,indian,
比什努·普斯卡·施雷斯塔,Bishnu Pushkar Shrestha,
马德里,madrid,
英法,English law,
卡洛特,karot,
阿平民,A civilian,
言论会,speech meeting,
帕方,Parfang,
南站换,Exchange at South Station,
内务部,Ministry of Internal Affairs,
努库斯,nukus,
卡拉卡尔帕克斯坦,Karakalpakstan,
民族,nationality,
耶伦通话,Yellen call,
澎湖列岛,Penghu Islands,
巴厘岛,Bali,
社今日,company today,
阿斯麦,ASML,
西非,west africa,
东扩,Eastward expansion,
曼谷,Bangkok,
外长们,foreign ministers,
乌拉圭,Uruguay,Uruguay
中菲,China and the Philippines,
交通部,Ministry of Transport,
苏比克,Subic,
乌代表,Representative of Uzbekistan,
波茨坦,potsdam,
美联储,Fed,
克罗地亚,Croatia,Croatia
塔什干,tashkent,
佩洛西,Pelosi,
彰显,manifest,
科索沃,Kosovo,Kosovo
台东部,Eastern Taiwan,
日程,schedule,
加纳,Ghana,Ghana
科研船,research ship,
撒哈拉,Sahara,
哈尔格萨,Hargeisa,
索马里兰州,Somaliland,
劳动,labor,
澎湖,Penghu,
夏威夷,hawaii,
科考船,scientific research vessel,
日方会,Japanese meeting,
TVBS,TVBS,
印第安纳州,Indiana,
日华,Rihua,
的黎波里,Tripoli,
京瓷,Kyocera,
共和党籍,Republican,
台半,Taiwan and a half,
照单全收,Take it all as ordered,
国军,Guojun,
Proofpoint,Proofpoint,
台岛,Taiwan Island,
亚利桑那州,Arizona,
铃木俊,Shun Suzuki,
南朝,Southern Dynasties,
瓦努阿图,Vanuatu,
西北,northwest,
扎帕罗夫,Zhaparov,
广东,Guangdong,
巴斯夫,BASF,
湛江,Zhanjiang,
四川省,Sichuan Province,
平同,equal,
东拉达克,Eastern Ladakh,
Tollerort,Nice place,
中远,COSCO,
菲沙,Fraser,
乌兹别克斯坦谈,Uzbekistan talks,
撒马尔罕,samarkand,
执行,implement,
日遗化,Nippon Express,
武销毁,weapons destroyed,
埃尔多安,Erdogan,
米尔,Mir,
南太岛国,south pacific island country,
乌鲁木齐,Urumqi,
巴铁,Badie,
乌德穆尔特,Udmurt,
伊热夫斯克,izhevsk,
阿塔利班,Taliban,
党,party,
每当,whenever,
马拉维,Malawi,Malawi
